grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nr_scell1_cid,nr_scell1_freq,nr_scell2_cid,nr_scell2_freq,nr_scell3_cid,nr_scell3_freq,thput_sample_num,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_avg,thput_std
-86.914,40.4455,31,5145,None,None,None,None,None,None,None,None,None,None,None,None,None,None,209,0.192,0.6040639999999999,2.43184,6.632,16.04832,24.169408,37.79656,9.68214889952153,8.974271062334148
-86.914,40.4455,198,5145,None,None,244,850,338,1150,193,66486,None,None,None,None,None,None,42,0.04,0.05280000000000007,0.168,0.22799999999999998,0.29,0.304,0.304,0.2131428571428571,0.0806794277869347
-86.914,40.4455,198,5145,None,None,244,850,338,1150,320,66936,None,None,None,None,None,None,39,2.49456,3.259264,4.76384,8.08864,10.70016,15.416800000000002,19.11424,8.727624615384617,4.495155877073559
-86.914,40.4455,30,850,66,175450,429,66936,262,66486,None,None,None,None,None,None,None,None,37,0.12944,0.43500799999999995,2.21136,2.944,5.33248,6.523744,13.14632,3.5966918918918918,2.553373068099611
-86.914,40.4455,483,950,545,174770,None,None,None,None,None,None,None,None,None,None,None,None,641,1.888,2.944,3.664,5.04,7.096,8.032,9.448,5.314433697347893,2.0147547271711663
-86.914,40.4455,439,5330,None,None,208,850,483,66486,7,66936,None,None,None,None,None,None,46,3.74528,8.88504,12.577799999999998,19.11224,23.095319999999997,26.552719999999997,31.93808,18.38960347826087,6.808493229319704
-86.914,40.4455,177,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,0.896,1.8624,3.312,5.728,5.728,5.728,5.728,4.117333333333334,2.277826644462265
-86.914,40.4455,177,850,863,174770,429,66936,169,66486,None,None,None,None,None,None,None,None,15,0.0,0.0,0.0,0.896,0.896,0.896,0.896,0.5376,0.4389485619067456
-86.914,40.4455,424,850,863,174770,313,66936,202,66486,None,None,None,None,None,None,None,None,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-86.914,40.4455,424,850,None,None,253,5330,202,66486,313,66936,None,None,None,None,None,None,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-86.914,40.4455,424,850,545,174770,313,66936,202,66486,None,None,None,None,None,None,None,None,15,0.0,0.0,0.0,0.0,0.0,0.672,0.672,0.1344,0.26880000000000004
-86.914,40.4455,424,850,None,None,253,5330,40,9820,None,None,None,None,None,None,None,None,20,0.672,0.672,0.672,0.96,0.96,1.1128000000000022,2.488,1.012,0.509710506071829
-86.914,40.4455,424,850,66,174770,403,66661,None,None,None,None,None,None,None,None,None,None,53,0.128,0.128,0.248,0.288,0.528,2.488,2.488,0.6904150943396223,0.8015601163665266
-86.914,40.4455,177,850,66,174770,429,66936,169,66486,None,None,None,None,None,None,None,None,4,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,0.0
-86.914,40.4455,177,850,None,None,429,66936,169,66486,None,None,None,None,None,None,None,None,31,0.0,0.0,0.0,0.0,0.168,0.168,1.16,0.12903225806451613,0.2815459034218235
-86.914,40.4455,198,5145,None,None,None,None,None,None,None,None,None,None,None,None,None,None,37,0.0,0.0,0.0,0.68,3.44,3.44,3.44,1.5632432432432437,1.5414974363384877
-86.914,40.4455,7,1400,66,174770,None,None,None,None,None,None,None,None,None,None,None,None,188,0.46336,2.872,3.48,4.843999999999999,8.850279999999998,13.426752000000004,23.49616,6.57092,4.541982107286492
-86.914,40.4455,7,1400,545,174770,None,None,483,66486,None,None,None,None,None,None,None,None,95,0.23359999999999997,2.904,3.60208,5.848959999999999,8.448,11.369504000000004,15.91424,6.421401263157895,3.3550392663025703
-86.914,40.4455,7,1400,66,174770,None,None,483,66486,None,None,None,None,None,None,None,None,100,0.11567999999999999,0.94048,3.0869,5.144,6.620559999999999,8.84672,15.960799999999999,4.999499999999999,2.968890040873861
-86.914,40.4455,7,66936,66,174770,439,5330,46,9820,483,66486,None,None,None,None,None,None,1,9.333599999999999,9.333599999999999,9.333599999999999,9.333599999999999,9.333599999999999,9.333599999999999,9.333599999999999,9.333599999999999,0.0
-86.914,40.4455,7,1400,464,174770,None,None,None,None,None,None,None,None,None,None,None,None,64,0.13296,0.35791999999999996,0.7619199999999999,2.536,6.001759999999999,9.421376,20.86352,4.0113924999999995,4.3439628028038815
-86.914,40.4455,7,66936,464,174770,483,66486,None,None,None,None,None,None,None,None,None,None,1,2.784,2.784,2.784,2.784,2.784,2.784,2.784,2.784,0.0
-86.914,40.4455,7,1400,None,None,483,66486,None,None,None,None,None,None,None,None,None,None,1,3.1422399999999997,3.1422399999999997,3.1422399999999997,3.1422399999999997,3.1422399999999997,3.1422399999999997,3.1422399999999997,3.1422399999999997,0.0
-86.914,40.4455,110,1400,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,1.8563199999999997,1.9553919999999998,2.104,2.288,2.3353599999999997,2.701984,2.9464,2.306016,0.3617497120164715
-86.914,40.4455,110,1400,464,174770,None,None,None,None,None,None,None,None,None,None,None,None,10,0.80976,1.73208,2.55664,4.36,6.038879999999999,9.709711999999998,14.08544,5.214432,3.7440991835067616
-86.914,40.4455,110,1400,545,174770,317,850,152,1150,None,None,None,None,None,None,None,None,56,0.011839999999999998,0.024,0.096,0.232,0.40788,1.19296,4.89936,0.4685371428571429,0.7749419033286907
-86.914,40.445,483,950,None,None,None,None,None,None,None,None,None,None,None,None,None,None,79,0.5947199999999999,4.515167999999999,7.57568,11.264,13.92672,17.825504000000002,26.37696,11.083588860759495,5.439929436664233
-86.914,40.445,483,950,66,174770,None,None,None,None,None,None,None,None,None,None,None,None,34,0.944,0.944,0.99584,1.272,1.272,4.257503999999999,13.69952,2.134564705882353,2.496912001554573
-86.914,40.445,31,5145,None,None,208,850,483,66486,7,66936,None,None,None,None,None,None,3,12.603679999999999,12.857855999999998,13.23912,13.874559999999999,14.9736,15.633023999999999,16.07264,14.183626666666667,1.4329602282764944
-86.914,40.445,7,1400,545,174770,None,None,None,None,None,None,None,None,None,None,None,None,11,7.656,8.32,8.32,8.32,8.32,8.32,8.32,8.259636363636362,0.19088657875925505
-86.914,40.445,85,1400,545,175450,None,None,None,None,None,None,None,None,None,None,None,None,70,0.12176,1.288128,4.50468,7.42224,9.550719999999998,11.155424,14.208,6.842014857142857,3.672625298998268
-86.914,40.445,31,5145,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21,0.264,0.48447999999999997,7.7596799999999995,11.88736,14.695519999999998,18.60208,20.610400000000002,10.75695238095238,6.474557803395059
-86.914,40.445,198,5145,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51,1.288,1.72,4.62744,8.11872,12.55872,15.4496,22.52256,8.75216,5.330705308498576
