grid_lat,grid_lon,thput_sample_num,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_avg,thput_std
-86.906,40.4375,1544,0.0,0.984864,2.92976,5.976479999999999,11.96,20.583424,44.8824,8.461918704663212,7.66937944974807
-86.906,40.437,1578,0.0,0.744,2.13152,5.4524,11.40492,18.876511999999998,42.89968,7.843719949302915,7.144674895051467
-86.906,40.4365,1383,0.0,0.7627840000000011,3.10752,7.89088,14.179039999999999,21.362367999999993,44.908319999999996,9.428291135213303,8.022750015037921
-86.9055,40.4365,381,0.056,1.896,3.5726400000000003,9.002719999999998,13.719199999999999,19.62736,37.628479999999996,9.688359895013123,7.015635432995453
-86.9055,40.436,2068,0.0,1.772992,4.824,8.971599999999999,14.33948,20.961071999999998,42.286559999999994,10.279382707930367,7.336563251939211
-86.9055,40.4355,2722,0.0,1.72,5.48,12.136,18.848,25.994576,57.9152,13.276562586333581,9.714631763354657
-86.9055,40.435,2574,0.0064,1.059744,2.44568,5.618799999999999,11.23552,18.347056000000006,39.856159999999996,7.749288640248642,6.711451776578466
-86.9055,40.4345,1980,0.007039999999999999,0.832,1.8892,4.98,10.29036,19.366368000000005,49.56927999999999,7.542744040404041,7.4699200925917335
-86.9055,40.434,1105,0.007039999999999999,1.302048,3.29888,7.2,16.74112,25.606112,44.79872,10.861697665158369,9.40476651077566
-86.9055,40.4335,1020,0.00768,0.9714560000000001,2.656,7.27064,13.246319999999999,17.403776,31.455039999999997,8.608379372549019,6.7859690109349176
-86.9055,40.433,1008,0.11952,1.1624,3.63216,9.70956,15.153479999999998,18.602400000000003,37.424319999999994,9.850474126984128,6.854593756151437
-86.9055,40.4325,992,0.014079999999999999,1.415904,3.2,9.007359999999998,14.16,19.403823999999997,36.15648,9.465995241935484,7.110923221974037
-86.9055,40.432,1032,0.010879999999999999,2.605568,5.715039999999999,9.94568,17.7029,25.552639999999993,51.15727999999999,12.436040930232558,8.949066160235837
-86.9055,40.4315,1069,0.0,2.288,6.068,14.23728,22.63904,32.961856000000004,60.514559999999996,15.961481384471465,12.158400390762091
-86.9055,40.431,1559,0.007039999999999999,2.08,4.592,11.213599999999998,29.114559999999997,47.949728,93.08048,19.23098073123797,18.48425279843578
-86.9055,40.4305,2821,0.0054399999999999995,3.49216,6.905919999999999,14.54224,31.490719999999996,49.57232,95.43888,21.214514512584188,18.270067844693244
-86.9055,40.43,1138,0.13584,3.866688,8.1984,16.096,26.76,49.143280000000054,96.35056,20.997240210896308,17.891329049424968
-86.9055,40.4295,1035,0.12176,4.127968,8.40904,18.056,28.022959999999998,37.103775999999996,70.22912,19.45354767149758,12.875596689869155
-86.9055,40.429,985,0.0054399999999999995,3.76,8.368879999999999,18.16,28.80144,47.056352000000004,87.44688,21.70726700507614,17.01326763683965
-86.9055,40.4285,987,0.11952,2.016,4.952,10.02512,19.665279999999996,28.00256,56.92592,13.217264113475176,10.540346424756066
-86.9055,40.428,1003,0.00768,2.048,4.667999999999999,12.704,27.00676,35.447264,70.90416,16.97854548354935,14.177506381016167
-86.9055,40.4275,3968,0.0064,5.255456,12.32,23.6,37.526399999999995,49.82264,91.21359999999999,26.199598245967742,17.24128549775327
-86.9055,40.427,2008,0.04,3.953376000000001,8.44,16.344,32.01472,42.75803199999999,77.74239999999999,20.704346135458167,15.100074011066205
-86.9055,40.4265,3235,0.0,1.06832,2.288,5.58416,11.97628,22.052704,59.4,8.781950466769706,9.183328193309514
-86.9055,40.426,3387,0.0,1.416,3.024,9.104,17.395519999999998,27.116064,104.40383999999999,12.558323991733099,13.308710348976224
-86.9055,40.4255,1191,0.0064,0.776,1.9558399999999998,5.53248,13.6296,28.096,111.01791999999999,11.740453937867338,17.051151782668747
