grid_lat,grid_lon,thput_sample_num,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_avg,thput_std
-86.8995,40.4665,795,0.688,10.72,15.949119999999999,22.74624,31.1664,49.273472000000005,174.93311999999997,26.994595018867926,17.59677389725085
-86.8995,40.466,772,0.3776,8.664,14.704,20.37952,28.804319999999997,37.763968,89.71328,22.549565284974094,12.309552005770222
-86.8995,40.4655,746,0.008,3.9771199999999993,8.112,20.644799999999996,38.27648,48.85584,109.50688,24.578630777479887,18.34967356495786
-86.8995,40.465,750,0.011839999999999998,4.488,6.824,10.84,17.568,29.777344,203.71455999999998,14.463262826666668,12.523828816992541
-86.8995,40.4645,763,0.15488,4.233728,8.28,16.032,26.929759999999998,34.092352,67.74943999999999,18.075397640891218,11.735814933675288
-86.8995,40.464,734,0.0,3.4875839999999996,7.934239999999999,20.499200000000002,33.32,44.8,106.4192,22.3636485013624,16.20519517076721
-86.8995,40.4635,267,0.01312,2.2560000000000002,4.71728,9.208,17.43984,34.45785600000001,68.59967999999999,14.318338876404493,14.17526107537922
-86.9,40.4635,509,1.0873599999999999,8.020608000000001,27.33696,58.88192,77.76064,93.127616,192.86656,54.63576220039292,32.388250924005
-86.9,40.463,791,0.14784,5.410239999999999,11.37912,38.49984,67.10687999999999,76.94792,167.60895999999997,40.21508571428571,29.236505266280815
-86.9,40.4625,494,0.22976,4.308072,8.21664,14.98096,40.7628,67.43526399999999,142.0132,28.036489554655866,27.288766950322728
-86.9,40.462,62,1.76704,5.771744,7.214,9.824,15.34552,21.699711999999995,40.359680000000004,12.615032258064515,8.18016340587585
-86.9005,40.462,718,0.30976,6.7345440000000005,14.499519999999999,41.96159999999999,71.496,89.995136,182.3872,45.21770072423398,31.540705367430302
-86.9005,40.4615,831,0.056319999999999995,5.409599999999999,11.64,33.88831999999999,51.19951999999999,65.632,207.96607999999998,34.436571937424794,25.82036406419511
-86.9005,40.461,391,0.34464,3.40104,8.68,12.784,37.55872,55.58912,94.77311999999999,23.063909360613813,20.66739791242892
-86.901,40.461,446,0.12255999999999999,4.734399999999999,28.374399999999998,52.688,67.792,78.5856,142.3124,48.451688609865464,27.79784571214097
-86.901,40.4605,885,0.0,2.58176,8.368,38.45568,62.16,77.044544,188.43712,38.73997857627118,31.412297363360683
-86.901,40.46,722,0.0,2.784,6.563299999999999,31.112,56.80637999999999,70.99449599999998,113.47008,33.3861227700831,27.203682264400996
-86.901,40.4595,136,0.12031999999999998,1.12,1.992,3.62,6.34248,14.544319999999999,32.60576,5.685884117647058,5.842551603971111
-86.9015,40.4595,627,0.5967999999999999,4.2,13.621759999999998,44.432,60.176,70.93292799999999,158.50624,39.731352216905904,25.980692090163654
-86.9015,40.459,759,0.010879999999999999,3.291968,8.18944,21.781119999999998,49.720479999999995,68.35980799999999,117.57312,29.910778919631092,26.147640282374983
-86.9015,40.4585,599,0.22976,3.9043840000000003,6.92,12.824,24.91632,33.593472,87.02655999999999,16.563762537562603,12.847791662325545
-86.902,40.458,725,0.0064,4.736,7.67456,18.895999999999997,32.97024,47.328,141.59104,23.560690096551724,20.083490313459073
-86.902,40.4575,673,0.0054399999999999995,2.29696,4.752,19.352,68.472,92.072,155.68607999999998,38.04817676077266,36.97347618356539
-86.902,40.457,49,0.7088,2.117184,4.03712,5.04,13.245119999999998,23.144,24.152,8.744672653061224,7.0787199426515635
-86.9025,40.457,806,0.0,2.6361599999999994,4.8223199999999995,25.67024,77.49656,98.60256000000001,275.27871999999996,42.22230848635237,40.832211459270596
-86.9025,40.4565,477,0.008,1.81696,3.3728000000000002,5.608,36.352,73.936,119.15008,24.11070188679245,29.168860111566264
-86.903,40.4565,351,0.0,5.9177599999999995,39.830079999999995,87.952,111.95103999999999,130.09856,178.97472,78.00230085470085,44.506052493321725
-86.903,40.456,779,0.0,4.43616,8.34476,39.624,85.64735999999999,116.26291199999999,214.6656,50.80900528883183,45.34778058054912
-86.903,40.4555,794,0.02272,4.376896,8.84,77.21088,109.86335999999999,126.08,254.18399999999997,65.25411083123426,50.9171480125998
-86.903,40.455,820,0.010879999999999999,5.632,11.384,49.768319999999996,110.9104,138.493888,242.25408000000002,63.07134770731707,53.30693528285935
-86.903,40.4545,862,0.08448,5.0305279999999994,10.8336,54.09728,100.69736,133.83654399999998,217.32959999999997,60.64867675174015,49.616061081701176
-86.903,40.454,827,0.11488,3.008,8.21232,76.29311999999999,114.74015999999999,134.39104,199.05728,67.78558461910521,54.12552256331758
-86.903,40.4535,905,0.0,2.3840000000000003,4.69152,44.76,91.75231999999998,114.77088,225.2832,51.67047832044199,47.6624783729526
-86.903,40.453,817,0.0,1.8696320000000002,4.832,8.272,11.979519999999999,21.561343999999995,120.35072,10.922361811505507,13.09679448472747
-86.9035,40.453,887,0.0,0.0,0.0,0.0,8.45616,20.03616,61.519999999999996,5.634790349492673,10.221680658983017
-86.904,40.453,526,0.0,0.0,0.0,1.0180799999999999,15.081019999999999,29.725119999999997,66.0736,9.278907528517108,12.77474131732575
-86.9045,40.453,270,0.0,3.398976,10.6,21.74176,33.50928,43.64588799999999,62.793279999999996,22.57036059259259,14.656591079371044
-86.905,40.453,271,0.0,0.0,9.167359999999999,17.654719999999998,31.51712,40.388479999999994,58.54879999999999,20.08052900369004,14.530469495208571
-86.9055,40.453,295,0.0,3.0510719999999996,9.4168,18.081599999999998,31.57264,41.419392,74.36128,20.956277152542373,15.239427761898076
-86.906,40.453,494,0.12575999999999998,5.163936,15.83448,28.496,49.972719999999995,62.960736,96.80608,32.832468502024284,21.621467753953908
-86.906,40.4525,172,0.2352,1.5260799999999999,3.52576,11.37136,42.248,45.670111999999996,98.43328,23.13472558139535,21.839584618016946
-86.9065,40.4525,743,0.0,7.238976,18.601599999999998,27.84,58.3608,77.008,113.80928,37.276654427994615,25.431368680381727
-86.907,40.4525,237,9.024,19.143168,28.72256,38.49952,56.447039999999994,92.361728,136.04127999999997,46.54920607594937,26.85289912010662
