grid_lat,grid_lon,grid_height,total_sample,thput_mean,thput_std,thput_0,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_100,rbs_mean,rbs_std,rbs_0,rbs_25,rbs_50,rbs_75,rbs_100,rtt_mean,rtt_std,rtt_0,rtt_10,rtt_25,rtt_50,rtt_75,rtt_90,rtt_100,rsrp_mean,rsrp_std,rsrp_0,rsrp_10,rsrp_25,rsrp_50,rsrp_75,rsrp_90,rsrp_100,rsrq_mean,rsrq_std,rsrq_0,rsrq_10,rsrq_25,rsrq_50,rsrq_75,rsrq_90,rsrq_100
-86.9440,40.4690,0.0000,5.0000,13.0286,1.7918,10.8107,11.0380,11.2654,11.9476,12.2053,14.4613,15.2155,15.4668,15.7182,14.0780,1.3476,12.1000,12.8500,14.8500,15.0700,15.5200,1005.2500,472.1585,210.0000,486.6000,901.5000,1186.0000,1289.7500,1379.3000,1439.0000,-106.6480,0.5491,-107.2500,-107.2180,-107.1700,-106.8200,-106.0400,-105.9920,-105.9600,-11.6640,0.0441,-11.7300,-11.7180,-11.7000,-11.6400,-11.6400,-11.6220,-11.6100
-86.9435,40.4665,0.0000,2.0000,37.2645,5.8715,31.3930,31.9802,32.5673,34.3287,37.2645,40.2003,41.9617,42.5489,43.1360,3.9750,0.1550,3.8200,3.8975,3.9750,4.0525,4.1300,609.0000,47.0000,562.0000,571.4000,585.5000,609.0000,632.5000,646.6000,656.0000,-101.3500,0.6200,-101.9700,-101.8460,-101.6600,-101.3500,-101.0400,-100.8540,-100.7300,-10.9850,0.0350,-11.0200,-11.0130,-11.0025,-10.9850,-10.9675,-10.9570,-10.9500
-86.9435,40.4685,0.0000,3.0000,17.4996,0.9645,16.2880,16.4155,16.5429,16.9253,17.5627,18.1053,18.4309,18.5395,18.6480,11.2000,1.5369,9.7600,10.1350,10.5100,11.9200,13.3300,1173.0000,190.2858,1032.0000,1034.6000,1038.5000,1045.0000,1243.5000,1362.6000,1442.0000,-104.1067,0.3391,-104.5300,-104.4420,-104.3100,-104.0900,-103.8950,-103.7780,-103.7000,-11.6533,0.1021,-11.7800,-11.7540,-11.7150,-11.6500,-11.5900,-11.5540,-11.5300
-86.9435,40.4690,0.0000,3.0000,16.4299,2.1856,13.3431,13.7923,14.2414,15.5889,17.8347,17.9733,18.0565,18.0843,18.1120,10.3900,1.6303,8.6500,9.3000,9.9500,11.2600,12.5700,1214.0000,201.0290,951.0000,1011.2000,1101.5000,1252.0000,1345.5000,1401.6000,1439.0000,-106.0400,0.6293,-106.4900,-106.4880,-106.4850,-106.4800,-105.8150,-105.4160,-105.1500,-11.8367,0.1443,-12.0400,-11.9820,-11.8950,-11.7500,-11.7350,-11.7260,-11.7200
-86.9430,40.4665,0.0000,3.0000,53.0780,16.3745,40.2057,40.4695,40.7333,41.5246,42.8434,59.5142,69.5167,72.8508,76.1850,3.4867,0.3437,3.2000,3.2450,3.2900,3.6300,3.9700,521.0000,150.9238,330.0000,370.8000,432.0000,534.0000,616.5000,666.0000,699.0000,-91.0867,4.0313,-96.1100,-95.0700,-93.5100,-90.9100,-88.5750,-87.1740,-86.2400,-10.6200,0.0572,-10.7000,-10.6780,-10.6450,-10.5900,-10.5800,-10.5740,-10.5700
-86.9430,40.4675,0.0000,7.0000,18.3642,5.1349,9.1876,10.8449,12.5022,15.4178,19.5973,21.3164,23.4624,24.8792,26.2960,10.5071,2.8311,6.7400,8.1650,9.9900,12.8650,14.7600,1238.0000,496.8044,752.0000,782.6000,844.5000,1007.0000,1615.0000,1988.0000,1988.0000,-104.2857,0.6267,-105.2700,-105.0780,-104.7000,-104.2700,-103.8700,-103.5720,-103.3200,-13.3043,0.7694,-14.6000,-14.2100,-13.8050,-13.2200,-12.7500,-12.4100,-12.2000
-86.9430,40.4680,0.0000,7.0000,14.8179,5.9506,9.0409,9.0582,9.0756,10.1556,13.0898,17.3760,22.7086,24.6201,26.5316,11.4114,2.4826,7.6600,10.2500,11.2500,12.0100,16.4500,1687.1429,521.2842,650.0000,948.2000,1512.5000,1970.0000,2020.0000,2092.0000,2125.0000,-106.1043,1.5232,-108.1900,-107.7040,-107.2900,-106.2100,-105.0450,-104.1040,-103.6600,-12.4671,0.5089,-13.1100,-13.0860,-12.9700,-12.2900,-12.1050,-11.8880,-11.7200
-86.9430,40.4685,0.0000,4.0000,20.5169,1.6966,17.7129,18.1749,18.6369,20.0229,21.0689,21.5629,21.9553,22.0861,22.2169,9.8850,2.5595,6.5100,8.0850,9.8650,11.6650,13.3000,1095.7500,268.4924,706.0000,793.6000,925.0000,1137.0000,1307.7500,1364.9000,1403.0000,-103.9650,0.2512,-104.1800,-104.1770,-104.1725,-104.0600,-103.8525,-103.6770,-103.5600,-11.5700,0.0875,-11.7100,-11.6650,-11.5975,-11.5500,-11.5225,-11.4910,-11.4700
-86.9425,40.4665,0.0000,2.0000,75.0085,6.6035,68.4050,69.0653,69.7257,71.7067,75.0085,78.3102,80.2913,80.9517,81.6120,3.2350,0.0150,3.2200,3.2275,3.2350,3.2425,3.2500,335.0000,142.0000,193.0000,221.4000,264.0000,335.0000,406.0000,448.6000,477.0000,-86.3900,0.7100,-87.1000,-86.9580,-86.7450,-86.3900,-86.0350,-85.8220,-85.6800,-10.5600,0.0000,-10.5600,-10.5600,-10.5600,-10.5600,-10.5600,-10.5600,-10.5600
-86.9425,40.4675,0.0000,3.0000,25.0782,0.4240,24.7582,24.7623,24.7664,24.7787,24.7991,25.2382,25.5017,25.5895,25.6773,8.8433,1.1650,7.7600,8.0350,8.3100,9.3850,10.4600,1016.3333,6.5997,1007.0000,1009.8000,1014.0000,1021.0000,1021.0000,1021.0000,1021.0000,-97.9900,1.4705,-100.0300,-99.4880,-98.6750,-97.3200,-96.9700,-96.7600,-96.6200,-11.1867,0.1443,-11.3900,-11.3320,-11.2450,-11.1000,-11.0850,-11.0760,-11.0700
