grid_lat,grid_lon,grid_height,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,total_avail_sample,avail_sample,avail_sample_ratio,total_thput_sample,thput_sample,thput_sample_ratio,thput_avg_dl,thput_std_dl,thput_0_dl,thput_10_dl,thput_25_dl,thput_50_dl,thput_75_dl,thput_90_dl,thput_100_dl,thput_avg_ul,thput_std_ul,thput_0_ul,thput_10_ul,thput_20_ul,thput_25_ul,thput_30_ul,thput_40_ul,thput_50_ul,thput_60_ul,thput_70_ul,thput_75_ul,thput_80_ul,thput_90_ul,thput_100_ul,rbs_avg,rbs_std,rbs_0,rbs_10,rbs_25,rbs_50,rbs_75,rbs_90,rbs_100
-86.917,40.462,0,47,1200,372,125290,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,24,8,0.3333333333333333,15,8,0.5333333333333333,0.2358214285714286,0.04204533207122512,0.183,0.1942,0.21475,0.22514285714285714,0.24514285714285713,0.28765714285714283,0.32685714285714285,46.43230357142858,29.8266433838632,21.943,22.4722,23.451800000000002,24.110500000000002,24.6541,25.1658,34.063428571428574,43.80708571428572,47.27988571428571,54.62542857142857,64.21462857142859,85.96925714285713,111.15885714285714,3.9725,0.9545908809537205,3.0,3.0,3.1725,3.745,4.3925,5.486,5.57,
-86.917,40.462,0,47,1200,10,520110,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,24,7,0.2916666666666667,15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.917,40.462,0,47,1200,None,None,50,1001,None,None,None,None,None,None,None,None,None,None,LTE,24,3,0.125,15,1,0.06666666666666667,0.2914285714285714,0.0,0.2914285714285714,0.2914285714285714,0.2914285714285714,0.2914285714285714,0.2914285714285714,0.2914285714285714,0.2914285714285714,4.08,0.0,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-86.917,40.462,0,47,1200,147,520110,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,24,1,0.041666666666666664,15,1,0.06666666666666667,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.1874285714285713,0.0,1.1874285714285713,1.1874285714285713,1.1874285714285713,1.1874285714285713,1.1874285714285713,1.1874285714285713,1.1874285714285713,1.1874285714285713,1.1874285714285713,1.1874285714285713,1.1874285714285713,1.1874285714285713,1.1874285714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-86.917,40.462,0,47,1200,403,125290,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,24,1,0.041666666666666664,15,1,0.06666666666666667,0.42628571428571427,0.0,0.42628571428571427,0.42628571428571427,0.42628571428571427,0.42628571428571427,0.42628571428571427,0.42628571428571427,0.42628571428571427,7.232,0.0,7.232,7.232,7.232,7.232,7.232,7.232,7.232,7.232,7.232,7.232,7.232,7.232,7.232,10.01,0.0,10.01,10.01,10.01,10.01,10.01,10.01,10.01,
-86.917,40.462,0,47,1200,372,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,24,4,0.16666666666666666,15,4,0.26666666666666666,0.18539285714285714,0.03485602676784628,0.163,0.16390000000000002,0.16525,0.16642857142857143,0.18657142857142858,0.22205714285714287,0.24571428571428572,34.303607142857146,7.812877083389517,27.59,27.7649,27.939799999999998,28.02725,28.1147,29.4264,31.3065,33.1866,35.69714285714285,37.582857142857144,39.46857142857143,43.24,47.011428571428574,28.130000000000003,3.712795442789705,21.81,24.051,27.4125,29.745,30.4625,30.916999999999998,31.22,
-86.917,40.4625,0,47,1200,372,125290,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,1,1,1.0,1,1,1.0,0.264,0.0,0.264,0.264,0.264,0.264,0.264,0.264,0.264,40.87657142857143,0.0,40.87657142857143,40.87657142857143,40.87657142857143,40.87657142857143,40.87657142857143,40.87657142857143,40.87657142857143,40.87657142857143,40.87657142857143,40.87657142857143,40.87657142857143,40.87657142857143,40.87657142857143,4.48,0.0,4.48,4.48,4.48,4.48,4.48,4.48,4.48,
-86.9165,40.463,0,47,1200,372,125290,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,73,44,0.6027397260273972,69,42,0.6086956521739131,0.21902040816326532,0.04309900654131114,0.135,0.16982857142857144,0.196,0.216,0.2414285714285714,0.28092857142857147,0.316,44.80277891156462,9.537135323666458,27.782,31.10531428571429,38.1352,38.86275,40.257400000000004,41.96548571428572,45.48057142857143,46.84382857142857,47.87314285714285,49.58371428571429,52.195542857142854,57.5181,66.953,3.0371428571428574,0.1485370839424366,3.0,3.0,3.0,3.0,3.0,3.05,3.95,
-86.9165,40.463,0,393,1200,372,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,73,21,0.2876712328767123,69,20,0.2898550724637681,0.17204285714285714,0.04291748371192403,0.074,0.1096,0.1525,0.176,0.20675,0.21520000000000003,0.238,21.354750000000003,7.708100618217255,9.248,10.6487,11.818771428571429,15.086857142857143,17.204071428571428,20.4578,23.17735714285714,24.6188,25.8114,26.511,26.558400000000002,27.866800000000005,38.825,5.426,1.9513492767826057,3.0,3.858,4.0,4.6,6.385,7.682000000000002,10.35,
-86.9165,40.463,0,393,1200,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,73,1,0.0136986301369863,69,1,0.014492753623188406,0.112,0.0,0.112,0.112,0.112,0.112,0.112,0.112,0.112,8.257,0.0,8.257,8.257,8.257,8.257,8.257,8.257,8.257,8.257,8.257,8.257,8.257,8.257,8.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-86.9165,40.463,0,393,1200,403,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,73,1,0.0136986301369863,69,1,0.014492753623188406,0.6011428571428571,0.0,0.6011428571428571,0.6011428571428571,0.6011428571428571,0.6011428571428571,0.6011428571428571,0.6011428571428571,0.6011428571428571,9.725714285714286,0.0,9.725714285714286,9.725714285714286,9.725714285714286,9.725714285714286,9.725714285714286,9.725714285714286,9.725714285714286,9.725714285714286,9.725714285714286,9.725714285714286,9.725714285714286,9.725714285714286,9.725714285714286,25.83,0.0,25.83,25.83,25.83,25.83,25.83,25.83,25.83,
-86.9165,40.463,0,393,1200,372,125290,408,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,73,6,0.0821917808219178,69,5,0.07246376811594203,0.24645714285714285,0.1361930622465096,0.154,0.156,0.159,0.18628571428571428,0.218,0.3962,0.515,16.28045714285714,6.758939750449332,8.111,8.9014,9.6918,10.087,11.125,13.201,15.277,18.168714285714284,21.06042857142857,22.506285714285713,23.08922857142857,24.255114285714285,25.421,5.324,1.544183926868817,4.0,4.0,4.0,4.53,6.08,7.238,8.01,
-86.916,40.463,0,47,1200,372,125290,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,82,18,0.21951219512195122,76,17,0.2236842105263158,0.22536974789915967,0.05058360625405367,0.078,0.181,0.201,0.241,0.2651428571428572,0.27,0.291,44.162,8.277309502068725,27.674,33.7486,38.59348571428572,38.715428571428575,38.71668571428572,41.2368,46.552,48.0064,48.965599999999995,49.444,49.8872,54.733399999999996,57.33257142857143,4.176470588235294,1.5132121704058423,3.0,3.0,3.1,3.76,4.34,6.148000000000001,8.49,
-86.916,40.463,0,393,1200,372,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,82,64,0.7804878048780488,76,59,0.7763157894736842,0.15674818401937046,0.06359913338672749,0.041,0.07154285714285714,0.103,0.16228571428571428,0.20421428571428568,0.2392,0.29028571428571426,17.919774818401937,10.900965901979891,3.356,5.722971428571428,6.8904,8.165,8.884742857142857,13.568800000000003,16.722,18.337799999999998,24.45885714285714,27.460285714285714,28.306285714285714,34.86902857142857,41.00342857142857,5.517966101694914,2.1027002652852276,3.0,3.0,3.645,5.21,6.755,8.328000000000001,11.15,
-86.9165,40.462,0,47,1200,372,125290,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,43,20,0.46511627906976744,31,19,0.6129032258064516,0.19518796992481202,0.04567667749620744,0.08685714285714285,0.14342857142857143,0.1692857142857143,0.193,0.2232142857142857,0.25405714285714287,0.269,53.113879699248116,17.330606780483123,30.332571428571427,35.49165714285714,40.2156,43.40614285714286,44.65097142857143,46.1784,47.175,53.17805714285714,55.836,57.987,63.21737142857143,76.94619999999999,94.53714285714285,3.7810526315789477,1.0365575350870335,3.0,3.0,3.0,3.27,4.2,5.2299999999999995,6.61,
